dataset,method,test_f1,test_acc,test_auc,val_auc,layer,num_train
128_art_type_movie,logreg,0.6220159622223094,0.6220199393151279,0.6683070762580022,0.7310000000000001,embed,1024
129_arith_mc_A,logreg,0.559252940834124,0.5607675906183369,0.562665939261684,0.5394000000000001,embed,1024
130_temp_cat_Frequency,logreg,0.3277368277368277,0.494949494949495,0.5210204081632652,0.5277777777777778,embed,962
131_temp_cat_Typical Time,logreg,0.3298289012574727,0.48484848484848486,0.48,0.4907407407407407,embed,962
132_temp_cat_Event Ordering,logreg,0.31866611318666116,0.47474747474747475,0.5,0.5456924315619968,embed,962
133_context_type_Causality,logreg,0.5271642236050389,0.5955555555555555,0.6126738305941846,0.6079545454545454,embed,1024
134_context_type_Belief_states,logreg,0.6531112434704621,0.6666666666666666,0.685643173198483,0.5876623376623377,embed,1024
135_context_type_Event_duration,logreg,0.49847169090895993,0.5422222222222223,0.589009165613148,0.5773133116883117,embed,1024
136_glue_mnli_entailment,logreg,0.3617542040522972,0.4976159514521023,0.49933637064638847,0.5361999999999999,embed,1024
137_glue_mnli_neutral,logreg,0.43538718312502855,0.4980494148244473,0.48898736022823436,0.4718,embed,1024
138_glue_mnli_contradiction,logreg,0.4573561762545249,0.5123537061118335,0.5097109341766862,0.5478,embed,1024
139_news_class_Politics,logreg,0.40912532326860446,0.535593220338983,0.5633666479134263,0.5213365539452497,embed,1024
140_news_class_Technology,logreg,0.3955215576218784,0.5145762711864407,0.5068614797409847,0.5491143317230274,embed,1024
141_news_class_Entertainment,logreg,0.37853419149593887,0.5138983050847458,0.5100954944420544,0.5408615136876007,embed,1024
142_cancer_cat_Thyroid_Cancer,logreg,0.8795757223259378,0.880466472303207,0.945532435740514,0.9413765506202482,embed,1024
143_cancer_cat_Lung_Cancer,logreg,0.9795907959001527,0.9795918367346939,0.993642050863593,1.0,embed,1024
144_cancer_cat_Colon_Cancer,logreg,0.8803749528730739,0.880466472303207,0.9620053039575683,0.9551820728291317,embed,1024
145_disease_class_digestive system diseases,logreg,0.33992232014353024,0.48484848484848486,0.46367346938775506,0.4092929292929294,embed,952
146_disease_class_cardiovascular diseases,logreg,0.3389600705036947,0.5050505050505051,0.48734693877551016,0.5626262626262626,embed,952
147_disease_class_nervous system diseases,logreg,0.5124007936507936,0.5555555555555556,0.5887755102040816,0.5353535353535355,embed,952
148_twt_emotion_worry,logreg,0.5467423846331476,0.5471186440677966,0.556643059646336,0.5950080515297907,embed,1024
149_twt_emotion_happiness,logreg,0.5638292283334849,0.5640677966101695,0.5761243670781349,0.7115539452495974,embed,1024
150_twt_emotion_sadness,logreg,0.5354571739236792,0.5389830508474577,0.5555527977260777,0.6044685990338164,embed,1024
151_it_tick_HR Support,logreg,0.6015052511887001,0.6029776674937966,0.6526895226836117,0.6684673869547818,embed,1024
152_it_tick_Hardware,logreg,0.6139668725660528,0.6178660049627791,0.6701270873355991,0.8009203681472589,embed,1024
153_it_tick_Administrative rights,logreg,0.7071924239940752,0.707196029776675,0.7497660213782573,0.6374549819927972,embed,1024
154_athlete_sport_football,logreg,0.6867458651972516,0.6867469879518072,0.7684370116557468,0.8242424242424241,embed,1024
155_athlete_sport_basketball,logreg,0.6665877945381051,0.6666666666666666,0.7417384696993592,0.756969696969697,embed,1024
156_athlete_sport_baseball,logreg,0.6830437014648544,0.6840696117804551,0.7787379392410144,0.7652525252525253,embed,1024
157_amazon_5star,logreg,0.5434888984410305,0.5435897435897435,0.5579493048776383,0.5836393308853529,embed,1024
158_code_C,logreg,0.4913918714806781,0.5677310924369748,0.5968354321683986,0.6226415094339623,embed,1024
159_code_Python,logreg,0.4788275152241719,0.5697478991596638,0.605678876427244,0.6270574066639905,embed,1024
160_code_HTML,logreg,0.5600275940892635,0.6184873949579832,0.6622493510062115,0.6979124849458048,embed,1024
161_agnews_0,logreg,0.9922688114760508,0.9922689075630252,0.9997238612780297,1.0,embed,1024
162_agnews_1,logreg,0.9966386531834658,0.9966386554621849,0.9997148223673268,1.0,embed,1024
163_agnews_2,logreg,0.9952940793642674,0.9952941176470588,0.9996990042735969,1.0,embed,1024
21_headline_istrump,logreg,0.3748919247521563,0.509182389937107,0.5195812519809344,0.5,embed,1024
22_headline_isobama,logreg,0.3546016250780535,0.4960380348652932,0.49680530440024107,0.5184073629451781,embed,1024
23_headline_ischina,logreg,0.3585026013934623,0.49939975990396157,0.5011471591957203,0.47624798711755234,embed,1024
24_headline_isiran,logreg,0.3662732975521881,0.5013774104683195,0.5001062473438165,0.5192076830732293,embed,1024
26_headline_isfrontpage,logreg,0.3558416719839533,0.5059119496855345,0.5110908278052816,0.5194077631052421,embed,1024
36_sciq_tf,logreg,0.563095686312602,0.5632704402515724,0.5917804258869777,0.576030412164866,embed,1024
41_truthqa_tf,logreg,0.7368364496024071,0.7373737373737373,0.7851020408163265,0.8661180248896025,embed,686
42_temp_sense,logreg,0.6563681386130712,0.6572143452877398,0.7305759599332221,0.8631239935587761,embed,1024
44_phys_tf,logreg,0.41457529026013323,0.49459119496855347,0.49738364763315684,0.5754301720688275,embed,1024
47_reasoning_tf,logreg,0.4809253918284005,0.4817474566128067,0.47799687705927857,0.5708550782818146,embed,1024
48_cm_correct,logreg,0.48615453120354096,0.5154716981132076,0.5193143004985119,0.5302120848339336,embed,1024
49_cm_isshort,logreg,0.7556479475291016,0.7662893081761006,0.7758983442679226,0.8083233293317327,embed,1024
50_deon_isvalid,logreg,0.4316474602020489,0.5215094339622641,0.5283859675415352,0.5538215286114445,embed,1024
51_just_is,logreg,0.4701442506229976,0.5290566037735849,0.5444979894464929,0.46198479391756697,embed,1024
52_virtue_is,logreg,0.7678820623392602,0.7679369250985545,0.847779641752217,0.9294000000000001,embed,1024
54_cs_tf,logreg,0.5276375024403934,0.5333333333333333,0.5384798726936353,0.6626650660264106,embed,1024
56_wikidatasex_or_gender,logreg,0.6123071203790743,0.6123270440251573,0.6662288780493733,0.6774709883953581,embed,1024
57_wikidatais_alive,logreg,0.64166668453822,0.6420125786163522,0.7077514153871391,0.78031212484994,embed,1024
58_wikidatapolitical_party,logreg,0.7913901588517093,0.7913924050632911,0.8799627956962783,0.9067627050820327,embed,1024
59_wikidata_occupation_isjournalist,logreg,0.6520697847989735,0.6523076923076923,0.7228620358837985,0.7480620155038761,embed,1024
5_hist_fig_ismale,logreg,0.6224749279869742,0.6226415094339622,0.6583867826992149,0.6718687474989996,embed,1024
60_wikidata_occupation_isathlete,logreg,0.6471750333872579,0.6471794871794871,0.7255213417712997,0.6988984088127295,embed,1024
61_wikidata_occupation_isactor,logreg,0.6430694136496787,0.6430769230769231,0.7134261285218972,0.8013055895552836,embed,1024
62_wikidata_occupation_ispolitician,logreg,0.7435541349506993,0.7435897435897436,0.8055613996701114,0.7641778865769074,embed,1024
63_wikidata_occupation_issinger,logreg,0.6132088254142636,0.6133333333333333,0.6631160164271047,0.7474500203998369,embed,1024
64_wikidata_occupation_isresearcher,logreg,0.7250846335800436,0.7251336898395722,0.8009915078972895,0.8824242424242424,embed,1024
65_high-school,logreg,0.7608396124850607,0.7724137931034483,0.7986506642675469,0.8204139610389611,embed,1024
66_living-room,logreg,0.7867485855879036,0.7950310559006211,0.8014704673829077,0.83011583011583,embed,1024
67_social-security,logreg,0.8149814805710365,0.8160919540229885,0.8894310771686779,0.8833198051948052,embed,1024
68_credit-card,logreg,0.7792365471868845,0.7880459770114943,0.8254560074949944,0.9096996753246754,embed,1024
69_blood-pressure,logreg,0.7497297716858434,0.7636781609195402,0.7673063849504842,0.7443181818181818,embed,1024
6_hist_fig_isamerican,logreg,0.8115723270440252,0.8115723270440252,0.8836928212455407,0.8555422168867546,embed,1024
70_prime-factors,logreg,0.7502740279349268,0.7641379310344828,0.7642463235294117,0.8392857142857143,embed,1024
71_social-media,logreg,0.8324234647799463,0.8340229885057471,0.8566151103955842,0.9007711038961039,embed,1024
72_gene-expression,logreg,0.7497297716858434,0.7636781609195402,0.75824373275069,0.7804383116883118,embed,1024
73_control-group,logreg,0.8058925788469146,0.8114942528735632,0.8162204394177174,0.8392857142857143,embed,1024
74_magnetic-field,logreg,0.8496108119284593,0.8519540229885058,0.8597876305536014,0.8482142857142857,embed,1024
75_cell-lines,logreg,0.7694648803682267,0.7793103448275862,0.783273834487797,0.8035714285714286,embed,1024
76_trial-court,logreg,0.8537971591564594,0.8560919540229885,0.8611214926402944,0.8928571428571428,embed,1024
77_second-derivative,logreg,0.7078063844598182,0.7291954022988506,0.7293198529411764,0.75,embed,1024
78_north-america,logreg,0.7442671190121235,0.759080459770115,0.7591911764705883,0.7321428571428572,embed,1024
79_human-rights,logreg,0.7398702438801154,0.7554022988505747,0.8062086523891985,0.7901785714285715,embed,1024
7_hist_fig_ispolitician,logreg,0.5987621206465791,0.5989937106918239,0.6357945103940199,0.665266106442577,embed,1024
80_side-effects,logreg,0.7371098704255922,0.7531034482758621,0.7627801321770659,0.7678571428571428,embed,1024
81_public-health,logreg,0.7547306845982479,0.7673563218390804,0.7715920774933709,0.7897727272727273,embed,1024
82_federal-government,logreg,0.7546151516271233,0.767816091954023,0.7822841130472428,0.7650162337662338,embed,1024
83_third-party,logreg,0.7842218102406217,0.7889655172413793,0.8047103299691543,0.7782061688311689,embed,1024
84_clinical-trials,logreg,0.7237236734274064,0.7420689655172413,0.747080300611505,0.7382305194805195,embed,1024
85_mental-health,logreg,0.765037686470345,0.776551724137931,0.8007785019481574,0.7820616883116882,embed,1024
87_glue_cola,logreg,0.4063452148148953,0.5046540880503144,0.5090420479596249,0.49139655862344944,embed,1024
89_glue_mrpc,logreg,0.3952975902713563,0.5201760821716801,0.5213342031943708,0.5278445512820512,embed,1024
90_glue_qnli,logreg,0.3877676224867248,0.5031446540880503,0.5065467034719642,0.5066026410564225,embed,1024
91_glue_qqp,logreg,0.3844192092841037,0.5169811320754717,0.5164253006716696,0.5016006402561024,embed,1024
92_glue_sst2,logreg,0.3331935803063005,0.499874213836478,0.5,0.5,embed,1024
94_ai_gen,logreg,0.7049536416191647,0.7071698113207547,0.8016297331042116,0.8587434973989596,embed,1024
95_toxic_is,logreg,0.6868686868686869,0.6868686868686869,0.7228571428571428,0.8010817307692307,embed,628
96_spam_is,logreg,0.3321494539090768,0.4989339019189765,0.5,0.5,embed,1024
